title,info,price
Mixpanel,Add event tracking powered by Mixpanel to your WooCommerce store.,$79.00
Purolator Shipping Method,Calculate order shipping costs automatically using the Purolator API.,$79.00
2Checkout Inline Checkout,Checkout with 2Checkout without leaving your store.,$79.00
iPay88 Gateway,Take payments on your WooCommerce store via iPay88 (redirect method).,$79.00
Alipay Cross Border Payment Gateway,The Alipay Cross-Border Payment Gateway plugin for WooCommerce allows you to tap into the 1.3 billion-person Chinese market.,$79.00
PayTrace Gateway,Take Visa  MasterCard  AmEx  Discover and JCB credit card payments via PayTrace.,$79.00
CyberSource Payment Gateway,CyberSource (SOAP Toolkit API) payment gateway for WooCommerce.,$79.00
WooCommerce Coupon Campaigns,Categorise coupons within coupon campaigns  making it easier to track the performance of a collection of coupons.,$49.00
Mixpanel,Add event tracking powered by Mixpanel to your WooCommerce store.,$79.00
WooCommerce Store Catalog PDF Download,Offer your customers a PDF download of your product catalog  generated by WooCommerce.,$49.00
Virtual Card Services,Take payments on your WooCommerce store via Virtual Card Services (redirect method).,$79.00
Authorize.Net Reporting,This WooCommerce extension allows you to Get Daily Transaction Reports via Email for your Authorize.net account.,$49.00
Skrill,Skill (moneybookers) gateway for WooCommerce,$79.00
WooCommerce Box Office,Sell tickets for your next event  concert  function  fundraiser or conference directly on your own site,$129.00
Minimum Advertised Price,Show a minimum advertised price until the customer takes action,$49.00
WooCommerce PDF Watermark,Secure your eBooks and PDF documents with text or image watermarks on your PDF downloads  or enable password and/or copy protection.,$79.00
WooCommerce Help Scout,Start relevant conversations with your customers  using WooCommerce and Help Scout.,$79.00
Mad Mimi Email Marketing,Tight integration with the Mad Mimi email marketing service.,$79.00
eWay Shared Payments,Accept payment through any of the eWAY sites  AU  NZ  UK  without exposing you to the costly requirements of SSL certificates and PCI compliance.,$79.00
PayGate Payment Gateway,Take payments on your WooCommerce store via PayGate (direct method).,$79.00
Westpac PayWay API Payment Gateway,This extension allows you to use Westpac PayWay API as a credit card processor  using their fully integrated API process.,$79.00
WooCommerce Store Catalog PDF Download,Offer your customers a PDF download of your product catalog  generated by WooCommerce.,$49.00
Skrill,Skill (moneybookers) gateway for WooCommerce,$79.00
WooCommerce PDF Watermark,Secure your eBooks and PDF documents with text or image watermarks on your PDF downloads  or enable password and/or copy protection.,$79.00
eWay Shared Payments,Accept payment through any of the eWAY sites  AU  NZ  UK  without exposing you to the costly requirements of SSL certificates and PCI compliance.,$79.00
Authorize.Net Reporting,This WooCommerce extension allows you to Get Daily Transaction Reports via Email for your Authorize.net account.,$49.00
Minimum Advertised Price,Show a minimum advertised price until the customer takes action,$49.00
Mad Mimi Email Marketing,Tight integration with the Mad Mimi email marketing service.,$79.00
Westpac PayWay API Payment Gateway,This extension allows you to use Westpac PayWay API as a credit card processor  using their fully integrated API process.,$79.00
Disability VAT Exemption,Define per product whether customers should be exempt from VAT if they have a disability or are a charity.,$29.00
iDeal via Sisow,iDeal Sisow payment gateway for WooCommerce,$79.00
WooCommerce Products Compare,WooCommerce Products Compare will allow your potential customers to easily compare products within your store.,$79.00
Dwolla,Receive payment on your WooCommerce store via Dwolla,$79.00
PayU Turkey,Take payments on your WooCommerce store via PayU Turkey.,$79.00
WooCommerce Freshdesk,A full Freshdesk integration with WooCommerce.,$79.00
MyGate Payment Gateway,Take payments via MyGate,$79.00
Paymill Gateway,A one-stop solution to seamlessly accept credit and debit cards (e.g. VISA & MasterCard) in your store.,$79.00
WooCommerce Order Status Change Notifier,Add notes  control outbound email notifications  and store order change comments to your orders in a single step.,$29.00
Authorize.net SIM Gateway,Accept WooCommerce store payments using Authorize.net SIM.,$79.00
WooCommerce Give Products,Give downloadable products  or product variations  to your customers free of charge.,$49.00
Product Support,Tired of the hassle involved with managing product support? Looking for a simple solution? Then look no further!,$79.00
Disability VAT Exemption,Define per product whether customers should be exempt from VAT if they have a disability or are a charity.,$29.00
Dwolla,Receive payment on your WooCommerce store via Dwolla,$79.00
MyGate Payment Gateway,Take payments via MyGate,$79.00
Authorize.net SIM Gateway,Accept WooCommerce store payments using Authorize.net SIM.,$79.00
WooCommerce Products Compare,WooCommerce Products Compare will allow your potential customers to easily compare products within your store.,$79.00
WooCommerce Freshdesk,A full Freshdesk integration with WooCommerce.,$79.00
WooCommerce Order Status Change Notifier,Add notes  control outbound email notifications  and store order change comments to your orders in a single step.,$29.00
Product Support,Tired of the hassle involved with managing product support? Looking for a simple solution? Then look no further!,$79.00
Amazon FPS Gateway,Amazon FPS Gateway,$79.00
WooCommerce Shopdock,Make it easier to shop: instantly add items to cart and checkout with ShopDock!,$79.00
WooCommerce Slack,Brings your WooCommerce store into the heart of your Slack channel conversations.,$29.00
PayPoint,Take credit card payments via PayPoint.net.,$79.00
Ambassador Affiliate Program Integration,Seamlessly integrate Ambassador’s affiliate service with your WooCommerce store.,$49.00
WooCommerce Snapscan Gateway,Allows your customers to pay using SnapScan  South African mobile payments,$29.00
Products of the Day,Promote your products every day by showing them to your customers in a handy widget!,$49.00
PagSeguro,Take payments via PagSeguro,$79.00
Wirecard,Accept credit card payments using the Wirecard Payment Gateway.,$79.00
WooCommerce Drip,Connect your WooCommerce store to your Drip Email Marketing account so you can track and analyse your subscribers and customers.,$79.00
Segment.io Integration,Tracks WordPress and WooCommerce activity and sends data to Segment.io,$79.00
First Data (UK) Merchant Solutions,First Data [UK] Merchant Solutions is an expert in card payment processing  delivering solutions that fit your business needs.,$79.00
Amazon FPS Gateway,Amazon FPS Gateway,$79.00
PayPoint,Take credit card payments via PayPoint.net.,$79.00
Products of the Day,Promote your products every day by showing them to your customers in a handy widget!,$49.00
WooCommerce Drip,Connect your WooCommerce store to your Drip Email Marketing account so you can track and analyse your subscribers and customers.,$79.00
WooCommerce Slack,Brings your WooCommerce store into the heart of your Slack channel conversations.,$29.00
WooCommerce Snapscan Gateway,Allows your customers to pay using SnapScan  South African mobile payments,$29.00
Wirecard,Accept credit card payments using the Wirecard Payment Gateway.,$79.00
First Data (UK) Merchant Solutions,First Data [UK] Merchant Solutions is an expert in card payment processing  delivering solutions that fit your business needs.,$79.00
SAPO Domestic Parcel Service,SAPO Domestic Parcel Service,$29.00
PayEx Payment Gateway,PayEx is a gateway plugin which extends WooCommerce allowing you to take credit card and bank account payments via PayEx.,$79.00
New Zealand Post,Offer shipping rates from the NZ Post API,$79.00
SecureNet Gateway,Take payments via SecureNet directly on your WooCommerce checkout.,$79.00
WooCommerce PostNL Shipping Method,Calculate shipping rates  using the PostNL shipping company.,$49.00
WooCommerce PickingPal,A hassle-free order fulfilment utility  directly within WooCommerce.,$79.00
WooCommerce HeidelPay.de Gateway,Check out using the Heidelpay.de payment processor.,$79.00
Vantiv,The Vantiv extension for WooCommerce allows you to accept credit card payments on your website.,$79.00
Clockwork SMS Notifications,Get an SMS message when a customer places an order. Send your customer an SMS message when the order status changes.,$29.00
Correios,Correios shipping method (Brazil),$79.00
Cybersource SOP,CyberSource SOP (Silent Order Post) payment gateway for WooCommerce.,$79.00
WooCommerce Bulk Download,Download all (or a selection) of your downloadable products in a single ZIP file.,$49.00
SAPO Domestic Parcel Service,SAPO Domestic Parcel Service,$29.00
SecureNet Gateway,Take payments via SecureNet directly on your WooCommerce checkout.,$79.00
WooCommerce HeidelPay.de Gateway,Check out using the Heidelpay.de payment processor.,$79.00
Correios,Correios shipping method (Brazil),$79.00
New Zealand Post,Offer shipping rates from the NZ Post API,$79.00
WooCommerce PickingPal,A hassle-free order fulfilment utility  directly within WooCommerce.,$79.00
Clockwork SMS Notifications,Get an SMS message when a customer places an order. Send your customer an SMS message when the order status changes.,$29.00
WooCommerce Bulk Download,Download all (or a selection) of your downloadable products in a single ZIP file.,$49.00
PayU,Take payments on your WooCommerce store via PayU (Poland).,$79.00
PayU India,Accept credit card payments using the PayU India Payment Gateway.,$79.00 $19.00
Clickatell SMS Notifications,Send SMS notifications to customers using Clickatell,$49.00
SveaWebPay,SveaWebPay Gateway for Sweden  Denmark  Holland  Norway  Finland and Germany.,$79.00
Fomo for WooCommerce,Bring your store to life by showcasing recent orders – the online equivalent of a busy store.,Free!
Peach Payments,Peach Payments is an online payment processor focusing on Africa and other emerging markets.,$29.00
e-Path Gateway,Process credit card payments with your MOTO or virtual terminal merchant account,$79.00
SAPO International Parcel Service,SAPO International parcel service,$29.00
WooCommerce Smart Refunder,Empower your customers to request refunds directly from their My Account screen.,$79.00
WooCommerce Dropshipping,Send automated order notification emails to your wholesale dropshippers when new orders arrive via your WooCommerce store.,$49.00
WooCommerce Gateway Rabo Omnikassa,Accept the most important Dutch and international payment methods in your WooCommerce store.,$79.00
Payza Gateway,Accept money transfers on your WooCommerce store via Payza (formerly AlertPay).,$79.00
PayU,Take payments on your WooCommerce store via PayU (Poland).,$79.00
SveaWebPay,SveaWebPay Gateway for Sweden  Denmark  Holland  Norway  Finland and Germany.,$79.00
e-Path Gateway,Process credit card payments with your MOTO or virtual terminal merchant account,$79.00
WooCommerce Dropshipping,Send automated order notification emails to your wholesale dropshippers when new orders arrive via your WooCommerce store.,$49.00
Clickatell SMS Notifications,Send SMS notifications to customers using Clickatell,$49.00
Peach Payments,Peach Payments is an online payment processor focusing on Africa and other emerging markets.,$29.00
WooCommerce Smart Refunder,Empower your customers to request refunds directly from their My Account screen.,$79.00
Payza Gateway,Accept money transfers on your WooCommerce store via Payza (formerly AlertPay).,$79.00
PsiGate Gateway,PsiGate payment gateway for WooCommerce capable of processing transactions in Canadian and US dollars.,$79.00
Authipay,Authipay helps your business accept payments online  securely and efficiently,$79.00
Netbanx Payment Gateway,Netbanx gateway is owned by Optimal Payments  a global provider of online payment services.,$79.00
Braintree Transparent Redirect,Braintree Transparent Redirect payment gateway for WooCommerce,$49.00
iVeri Payment Gateway,Take payments using South African payment gateway  iVeri  allowing customers to pay for their purchases securely using iVery Lite.,$79.00
NETbilling Payment Gateway,Easily and Securely Accept Credit Cards and eChecks using NETbilling,$79.00
TrustCommerce gateway,TrustCommerce is a US based payment processing company which maintains one of the highest security standards in the industry.,$79.00
WooCommerce Advanced Shipping Packages,Split your cart into separate packages  with dedicated shipping configurations.,$49.00
WooCommerce Aramex,Offer shipping rates for your customers' orders via the Aramex shipping company.,$79.00
Litmos Integration,Leverage the e-commerce power of WooCommerce with the easy course creation and management of Litmos to sell your courses online.,$129.00
Merchant Warrior,Take credit card payments via Merchant Warrior’s transparent redirect API,$79.00
Inspire Gateway,Inspire Commerce gateway for WooCommerce,Free!
PsiGate Gateway,PsiGate payment gateway for WooCommerce capable of processing transactions in Canadian and US dollars.,$79.00
Braintree Transparent Redirect,Braintree Transparent Redirect payment gateway for WooCommerce,$49.00
TrustCommerce gateway,TrustCommerce is a US based payment processing company which maintains one of the highest security standards in the industry.,$79.00
Litmos Integration,Leverage the e-commerce power of WooCommerce with the easy course creation and management of Litmos to sell your courses online.,$129.00
Netbanx Payment Gateway,Netbanx gateway is owned by Optimal Payments  a global provider of online payment services.,$79.00
NETbilling Payment Gateway,Easily and Securely Accept Credit Cards and eChecks using NETbilling,$79.00
WooCommerce Aramex,Offer shipping rates for your customers' orders via the Aramex shipping company.,$79.00
Inspire Gateway,Inspire Commerce gateway for WooCommerce,Free!
Speed Services Couriers,Offer Speed Services shipping rates,$49.00
WooCommerce Colissimo Shipping,Offer domestic and worldwide shipping rates via Colissimo shipping.,$79.00
InterFax Integration,Integrates your WooCommerce site with InterFax enabling you to fax the order details to your customers and yourself on every completed purchase.,$79.00
WooCommerce 2Checkout Payment API,Allow buyers to place sales directly on your website  without having to create the products in the 2CO sellers area.,$79.00
PayLeap Gateway,PayLeap delivers a secure and reliable hosted online payment gateway for card processing and other payment platform services.,$79.00
MercadoPago,Take payments via MercadoPago,$79.00
Nochex UK Gateway,Take secure payments on your WooCommerce store via UK based Nochex,$79.00
Affirm Payment Gateway,Receive payments on your WooCommerce store using the Affirm credit-based payment service.,$49.00
CardStream / Charity Clear,Accept credit card payments via CardStream or Charity Clear on a secure  hosted payment page.,$79.00
Inspire Payment Gateway,Accept transactions from all major credit cards including Visa  MasterCard  American Express  Discover  Diners Club  and JCB.,Free!
ePay.bg payment gateway,The leading Bulgarian online payment system.,$79.00
Allied Wallet Gateway,Allied Wallet’s QuickPay gateway for WooCommerce.,$79.00
Speed Services Couriers,Offer Speed Services shipping rates,$49.00
WooCommerce 2Checkout Payment API,Allow buyers to place sales directly on your website  without having to create the products in the 2CO sellers area.,$79.00
Nochex UK Gateway,Take secure payments on your WooCommerce store via UK based Nochex,$79.00
Inspire Payment Gateway,Accept transactions from all major credit cards including Visa  MasterCard  American Express  Discover  Diners Club  and JCB.,Free!
InterFax Integration,Integrates your WooCommerce site with InterFax enabling you to fax the order details to your customers and yourself on every completed purchase.,$79.00
MercadoPago,Take payments via MercadoPago,$79.00
CardStream / Charity Clear,Accept credit card payments via CardStream or Charity Clear on a secure  hosted payment page.,$79.00
Allied Wallet Gateway,Allied Wallet’s QuickPay gateway for WooCommerce.,$79.00
Spee-Dee Delivery,Spee-Dee Delivery Shipping Method for the upper midwest region of the United States.,$79.00
WooCommerce Payment Express PXPost Gateway,Payment Express is a Visa and MasterCard certified solution  facilitating electronic payments seamlessly from multiple access points.,$49.00
UserVoice Integration,Integrate your WooCommerce store with your UserVoice helpdesk / feedback software via Single Sign On.,$49.00
Virtual Card Services Direct,The VCS Direct extension for WooCommerce adds support for accepting payments using the South African payment processing platform.,$79.00
Przelewy24.pl,Take payments via Przelewy24,$79.00
WooCommerce Swedbank Gateway,Allow your customers to pay using their Swedbank account.,$49.00
MoIP,Integrate your store with MoIP,$79.00
Datacash Payment Gateway,DataCash (a Mastercard company) is a global  multi-channel payment gateway and fraud & risk management company.,$79.00
WooCommerce After The Order,An order management plugin for WooCommerce. Make everyone on your team an order management expert  so your business can grow and you can take your holidays!,$59.00
CyberSource eCheck SOP,CyberSource eCheck SOP (Silent Order Post) payment gateway for WooCommerce.,$79.00
US Export Compliance,Increase comfort and security of your online transactions by making your shop compliant with the US Export regulations.,$129.00
IfMB,Allow customers to pay for orders at your WooCommerce store through ATM machines in Portugal with the IfMB service.,$79.00
Spee-Dee Delivery,Spee-Dee Delivery Shipping Method for the upper midwest region of the United States.,$79.00
Virtual Card Services Direct,The VCS Direct extension for WooCommerce adds support for accepting payments using the South African payment processing platform.,$79.00
MoIP,Integrate your store with MoIP,$79.00
CyberSource eCheck SOP,CyberSource eCheck SOP (Silent Order Post) payment gateway for WooCommerce.,$79.00
UserVoice Integration,Integrate your WooCommerce store with your UserVoice helpdesk / feedback software via Single Sign On.,$49.00
WooCommerce Swedbank Gateway,Allow your customers to pay using their Swedbank account.,$49.00
WooCommerce After The Order,An order management plugin for WooCommerce. Make everyone on your team an order management expert  so your business can grow and you can take your holidays!,$59.00
IfMB,Allow customers to pay for orders at your WooCommerce store through ATM machines in Portugal with the IfMB service.,$79.00
WooCommerce HipChat,Bring your WooCommerce stores activity into the heart of your HipChat conversations.,$29.00
Pagamento Digital,Take payments via Pagamento Digital,$79.00
SEB Gateway,Accept WooCommerce store payments via SEB.,$49.00
evriPay,Take payments via South African gateway evriPay.,$79.00
CertoConnect,Take payments via CertoDirect  supporting credit cards  Alipay  Webmoney  Amazon  Google Wallet  uKash and more.,$49.00
Nordea Gateway,Accept WooCommerce store payments via Nordea.,$49.00
DNB Gateway,Accept WooCommerce store payments via DNB.,$49.00
VCS Direct payment gateway,Take payments via Virtual Card Services directly from your website (no redirect),$49.00
Danske Bank Gateway,Accept WooCommerce store payments via Dankse Bank (Banklink).,$49.00
LHV Gateway,Accept WooCommerce store payments via LHV.,$49.00
PencePay,An off-site gateway for international payment processor PencePay.,$79.00
Servired Payment Gateway,Accept payments via credit card.,$49.00
WooCommerce HipChat,Bring your WooCommerce stores activity into the heart of your HipChat conversations.,$29.00
evriPay,Take payments via South African gateway evriPay.,$79.00
DNB Gateway,Accept WooCommerce store payments via DNB.,$49.00
LHV Gateway,Accept WooCommerce store payments via LHV.,$49.00
SEB Gateway,Accept WooCommerce store payments via SEB.,$49.00
Nordea Gateway,Accept WooCommerce store payments via Nordea.,$49.00
Danske Bank Gateway,Accept WooCommerce store payments via Dankse Bank (Banklink).,$49.00
Servired Payment Gateway,Accept payments via credit card.,$49.00
